metragem_m2,terreno_m2,quartos,banheiros,vagas_garagem,qualidade,idade_anos,preco_mil
158.9,785.0,3,2,2,7,5,208.5
117.2,891.9,3,2,2,6,31,181.5
165.9,1045.2,3,2,2,7,7,223.5
159.5,887.2,3,1,3,7,91,140.0
204.2,1324.8,4,2,3,8,8,250.0
126.5,1311.3,1,1,2,5,16,143.0
157.4,936.8,3,2,2,8,3,307.0
194.2,964.5,3,2,2,7,36,200.0
164.8,568.6,2,2,2,7,77,129.9
100.1,689.3,2,1,1,5,69,118.0
96.6,1040.5,3,1,1,5,43,129.5
215.9,1107.8,4,3,3,9,1,345.0
84.7,1204.8,2,1,1,5,46,144.0
138.8,989.6,3,2,3,7,1,279.5
116.4,1014.5,2,1,1,6,48,157.0
79.3,568.6,2,1,2,7,78,132.0
93.3,1044.3,2,1,2,6,40,149.0
120.4,1002.5,2,2,2,4,39,90.0
103.5,1272.3,3,1,2,5,4,159.0
124.4,702.3,3,1,1,5,51,139.0
220.7,1320.6,4,3,3,8,1,325.3
102.9,692.0,3,1,1,7,77,139.4
166.8,905.1,3,2,2,8,6,230.0
98.5,392.4,3,1,2,5,31,129.9
98.5,766.1,3,1,1,5,42,154.0
148.6,1322.0,3,2,3,8,2,256.3
83.6,668.9,3,1,2,5,59,134.8
158.3,1066.3,3,2,3,8,3,306.0
148.6,1516.3,2,1,1,5,49,207.5
48.3,587.5,1,1,1,4,81,68.5
122.4,789.7,3,1,1,4,88,40.0
114.1,793.8,3,1,1,5,42,149.4
114.6,1026.5,3,2,2,8,1,179.9
157.9,980.3,4,1,2,5,51,165.5
145.0,679.4,2,2,2,9,2,277.5
227.8,1246.6,4,3,3,8,2,309.0
101.9,1008.8,3,1,2,5,15,145.0
120.5,792.6,3,1,2,5,55,153.0
98.2,736.0,3,1,1,5,57,109.0
107.0,561.1,2,2,0,4,53,82.0
123.0,804.4,3,2,2,6,41,160.0
123.4,1570.5,2,1,1,5,48,170.0
82.1,852.8,2,1,2,5,24,144.0
87.1,854.7,3,1,1,5,33,130.2
106.8,738.1,3,1,1,5,47,141.0
162.8,711.5,2,2,2,9,5,319.9
199.6,1191.2,1,1,2,7,6,239.7
153.8,1030.9,3,2,3,8,1,249.7
134.9,414.0,2,2,0,4,89,113.0
88.7,719.3,3,1,1,5,41,127.0
136.6,1288.5,3,2,2,6,10,177.0
109.3,579.7,3,1,2,6,72,114.5
75.8,787.1,2,1,2,5,47,110.0
171.1,4670.3,0,0,3,9,25,385.0
126.3,662.8,3,1,2,5,52,130.0
132.4,945.3,3,2,2,6,44,180.5
161.6,245.7,3,2,2,8,10,172.5
159.8,1081.9,3,2,2,7,2,196.5
273.6,1271.1,3,3,3,10,0,438.8
72.5,668.9,2,1,1,5,36,124.9
107.6,1214.4,3,1,2,6,2,158.0
103.2,668.9,3,1,1,5,87,101.0
127.3,598.5,2,2,2,8,1,202.5
158.9,956.9,3,2,2,7,89,140.0
189.0,871.0,3,2,2,7,12,219.5
229.7,891.0,4,2,3,8,3,317.0
205.0,1848.8,3,2,2,7,40,180.0
137.4,990.8,3,2,2,7,4,226.0
69.4,428.1,2,1,1,4,65,80.0
212.5,1448.6,3,2,2,7,53,225.0
206.5,1268.2,3,2,2,7,34,244.0
78.5,706.0,2,1,2,4,25,129.5
159.6,942.1,3,2,2,7,11,185.0
100.9,947.6,3,1,2,5,56,144.9
149.1,537.9,3,2,1,3,95,107.4
91.8,148.3,2,1,1,4,36,91.0
88.4,787.4,2,1,1,4,52,135.8
119.4,802.2,2,1,1,5,60,127.0
164.3,1001.3,4,2,0,4,42,136.5
114.3,969.9,2,1,2,5,99,110.0
